id,code_correspondence,name,code,geo_level,old_name,income_classification,region_code,region_correspondence,region_id/id
3,0102800000,Ilocos Norte,012800000,Prov,,1st,010000000,0100000000,2
6,0102900000,Ilocos Sur,012900000,Prov,,1st,010000000,0100000000,2
9,0103300000,La Union,013300000,Prov,,1st,010000000,0100000000,2
12,0105500000,Pangasinan,015500000,Prov,,1st,010000000,0100000000,2
15,0200900000,Batanes,020900000,Prov,,5th,020000000,0200000000,5
18,0201500000,Cagayan,021500000,Prov,,1st,020000000,0200000000,5
21,0203100000,Isabela,023100000,Prov,,1st,020000000,0200000000,5
24,0205000000,Nueva Vizcaya,025000000,Prov,,2nd,020000000,0200000000,5
27,0205700000,Quirino,025700000,Prov,,3rd,020000000,0200000000,5
30,0300800000,Bataan,030800000,Prov,,1st,030000000,0300000000,8
33,0301400000,Bulacan,031400000,Prov,,1st,030000000,0300000000,8
36,0304900000,Nueva Ecija,034900000,Prov,,1st,030000000,0300000000,8
39,0305400000,Pampanga,035400000,Prov,,1st,030000000,0300000000,8
42,0306900000,Tarlac,036900000,Prov,,1st,030000000,0300000000,8
45,0307100000,Zambales,037100000,Prov,,2nd,030000000,0300000000,8
48,0307700000,Aurora,037700000,Prov,,3rd,030000000,0300000000,8
51,0401000000,Batangas,041000000,Prov,,1st,040000000,0400000000,11
54,0402100000,Cavite,042100000,Prov,,1st,040000000,0400000000,11
57,0403400000,Laguna,043400000,Prov,,1st,040000000,0400000000,11
60,0405600000,Quezon,045600000,Prov,,1st,040000000,0400000000,11
63,0405800000,Rizal,045800000,Prov,,1st,040000000,0400000000,11
66,1704000000,Marinduque,174000000,Prov,,4th,170000000,1700000000,14
69,1705100000,Occidental Mindoro,175100000,Prov,,2nd,170000000,1700000000,14
72,1705200000,Oriental Mindoro,175200000,Prov,,1st,170000000,1700000000,14
75,1705300000,Palawan,175300000,Prov,,1st,170000000,1700000000,14
78,1705900000,Romblon,175900000,Prov,,3rd,170000000,1700000000,14
81,0500500000,Albay,050500000,Prov,,1st,050000000,0500000000,17
84,0501600000,Camarines Norte,051600000,Prov,,2nd,050000000,0500000000,17
87,0501700000,Camarines Sur,051700000,Prov,,1st,050000000,0500000000,17
90,0502000000,Catanduanes,052000000,Prov,,3rd,050000000,0500000000,17
93,0504100000,Masbate,054100000,Prov,,1st,050000000,0500000000,17
96,0506200000,Sorsogon,056200000,Prov,,2nd,050000000,0500000000,17
99,0600400000,Aklan,060400000,Prov,,2nd,060000000,0600000000,20
102,0600600000,Antique,060600000,Prov,,2nd,060000000,0600000000,20
105,0601900000,Capiz,061900000,Prov,,1st,060000000,0600000000,20
108,0603000000,Iloilo,063000000,Prov,,1st,060000000,0600000000,20
111,0604500000,Negros Occidental,064500000,Prov,,1st,060000000,0600000000,20
114,0607900000,Guimaras,067900000,Prov,,4th,060000000,0600000000,20
117,0701200000,Bohol,071200000,Prov,,1st,070000000,0700000000,23
120,0702200000,Cebu,072200000,Prov,,1st,070000000,0700000000,23
123,0704600000,Negros Oriental,074600000,Prov,,1st,070000000,0700000000,23
126,0706100000,Siquijor,076100000,Prov,,5th,070000000,0700000000,23
129,0802600000,Eastern Samar,082600000,Prov,,2nd,080000000,0800000000,26
132,0803700000,Leyte,083700000,Prov,,1st,080000000,0800000000,26
135,0804800000,Northern Samar,084800000,Prov,,2nd,080000000,0800000000,26
138,0806000000,Samar,086000000,Prov,Western Samar,1st,080000000,0800000000,26
141,0806400000,Southern Leyte,086400000,Prov,,3rd,080000000,0800000000,26
144,0807800000,Biliran,087800000,Prov,,4th,080000000,0800000000,26
147,0907200000,Zamboanga del Norte,097200000,Prov,,1st,090000000,0900000000,29
150,0907300000,Zamboanga del Sur,097300000,Prov,,1st,090000000,0900000000,29
153,0908300000,Zamboanga Sibugay,098300000,Prov,,2nd,090000000,0900000000,29
156,1001300000,Bukidnon,101300000,Prov,,1st,100000000,1000000000,32
159,1001800000,Camiguin,101800000,Prov,,5th,100000000,1000000000,32
162,1003500000,Lanao del Norte,103500000,Prov,,2nd,100000000,1000000000,32
165,1004200000,Misamis Occidental,104200000,Prov,,2nd,100000000,1000000000,32
168,1004300000,Misamis Oriental,104300000,Prov,,1st,100000000,1000000000,32
171,1102300000,Davao del Norte,112300000,Prov,,1st,110000000,1100000000,35
174,1102400000,Davao del Sur,112400000,Prov,,1st,110000000,1100000000,35
177,1102500000,Davao Oriental,112500000,Prov,,1st,110000000,1100000000,35
180,1108200000,Davao de Oro,118200000,Prov,Compostela Valley,1st,110000000,1100000000,35
183,1108600000,Davao Occidental,118600000,Prov,,4th,110000000,1100000000,35
186,1204700000,Cotabato,124700000,Prov,North Cotabato,1st,120000000,1200000000,38
189,1206300000,South Cotabato,126300000,Prov,,1st,120000000,1200000000,38
192,1206500000,Sultan Kudarat,126500000,Prov,,1st,120000000,1200000000,38
195,1208000000,Sarangani,128000000,Prov,,2nd,120000000,1200000000,38
198,1303900000,"NCR, City of Manila, First District",133900000,Dist,,,130000000,1300000000,41
201,1307400000,"NCR, Second District",137400000,Dist,,,130000000,1300000000,41
204,1307500000,"NCR, Third District",137500000,Dist,,,130000000,1300000000,41
207,1307600000,"NCR, Fourth District",137600000,Dist,,,130000000,1300000000,41
210,1400100000,Abra,140100000,Prov,,3rd,140000000,1400000000,44
213,1401100000,Benguet,141100000,Prov,,2nd,140000000,1400000000,44
216,1402700000,Ifugao,142700000,Prov,,3rd,140000000,1400000000,44
219,1403200000,Kalinga,143200000,Prov,,3rd,140000000,1400000000,44
222,1404400000,Mountain Province,144400000,Prov,,4th,140000000,1400000000,44
225,1408100000,Apayao,148100000,Prov,,3rd,140000000,1400000000,44
228,1600200000,Agusan del Norte,160200000,Prov,,3rd,160000000,1600000000,47
231,1600300000,Agusan del Sur,160300000,Prov,,1st,160000000,1600000000,47
234,1606700000,Surigao del Norte,166700000,Prov,,2nd,160000000,1600000000,47
237,1606800000,Surigao del Sur,166800000,Prov,,1st,160000000,1600000000,47
240,1608500000,Dinagat Islands,168500000,Prov,,4th,160000000,1600000000,47
243,1900700000,Basilan,150700000,Prov,,3rd,150000000,1900000000,50
246,1903600000,Lanao del Sur,153600000,Prov,,1st,150000000,1900000000,50
249,1906600000,Sulu,156600000,Prov,,2nd,150000000,1900000000,50
252,1907000000,Tawi-Tawi,157000000,Prov,,3rd,150000000,1900000000,50
255,1908700000,Maguindanao del Norte,153800000,Prov,,1st,150000000,1900000000,50
258,1908800000,Maguindanao del Sur,153800000,Prov,,1st,150000000,1900000000,50
261,0990100000,City of Isabela,099700000,Prov,,,090000000,0900000000,29
